Program,PriorExp,Rexperience,OperatingSystem,TVhours,Editor
PPM,Never programmed before,Never used,Windows,4,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,~5,Microsoft Word
Other,Some experience,Installed on machine,Mac OS X,2,Microsoft Word
PPM,Extensive experience,Installed on machine,Windows,5or so,Microsoft Word
Other,Some experience,Never used,Mac OS X,3,Microsoft Word
MISM,Extensive experience,Never used,Windows,15,Microsoft Word
PPM,Some experience,Never used,Mac OS X,3,Microsoft Word
PPM,Never programmed before,Basic competence,Mac OS X,2ish,Microsoft Word
PPM,Never programmed before,Never used,Windows,0,Microsoft Word
Other,Some experience,Installed on machine,Windows,2,Microsoft Word
MISM,Some experience,Installed on machine,Mac OS X,none,Microsoft Word
MISM,Some experience,Never used,Windows,7,Microsoft Word
MISM,Some experience,Installed on machine,Mac OS X,3,Microsoft Word
Other,Never programmed before,Never used,Windows,6.5,none
MISM,Some experience,Never used,Windows,0,Microsoft Word
Other,Never programmed before,Basic competence,Windows,0,Microsoft Word
PPM,Some experience,Basic competence,Windows,gjkhgs,Microsoft Word
PPM,Never programmed before,Installed on machine,Windows,3,Microsoft Word
MISM,Some experience,Basic competence,Windows,0,Microsoft Word
MISM,Some experience,Never used,Windows,4,Microsoft Word
Other,Never programmed before,Basic competence,Windows,3,Microsoft Word
MISM,Some experience,Basic competence,Windows,4,Microsoft Word
MISM,Some experience,Installed on machine,Windows,10,Microsoft Word
PPM,Some experience,Never used,Windows,2.5 (a movie),Microsoft Word
PPM,Some experience,Basic competence,Windows,8,Microsoft Word
PPM,Some experience,Basic competence,Windows,6,LaTeX
PPM,Some experience,Basic competence,Mac OS X,zero,R Markdown
Other,Never programmed before,Installed on machine,Windows,0,Microsoft Word
MISM,Some experience,Basic competence,Mac OS X,2,Microsoft Word
MISM,Some experience,Basic competence,Mac OS X,4,Microsoft Word
MISM,Some experience,Installed on machine,Windows,2,Microsoft Word
PPM,Never programmed before,Installed on machine,Windows,4,Microsoft Word
PPM,Some experience,Basic competence,Windows,4,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,0,Microsoft Word
PPM,Some experience,Never used,Mac OS X,5 (netflix),Google Docs
MISM,Some experience,Basic competence,Mac OS X,0,Microsoft Word
PPM,Some experience,Installed on machine,Mac OS X,2,Microsoft Word